"","member_casual","month","number_of_rides","mean_ride_duration"
"1","casual","01",7785,9698.96917148362
"2","casual","02",12314,7997.16460938769
"3","casual","03",24615,4250.22303473492
"4","casual","04",47744,3056.54714728552
"5","casual","05",81624,3074.30172498285
"6","casual","06",130218,2755.20239137446
"7","casual","07",175632,3587.0294991801
"8","casual","08",186889,4020.45134277566
"9","casual","09",129173,3100.00218311876
"10","casual","10",71035,3539.52902090519
"11","casual","11",18723,4021.96581744379
"12","casual","12",16430,3799.95940353013
"13","member","01",136099,668.942255270061
"14","member","02",126714,768.397162113105
"15","member","03",115593,860.064355108008
"16","member","04",217566,810.767528014488
"17","member","05",285834,830.993825087289
"18","member","06",345177,872.846478763069
"19","member","07",381683,985.999981660173
"20","member","08",403295,971.132429115164
"21","member","09",364046,847.83891596117
"22","member","10",300751,781.853250695758
"23","member","11",158440,745.924255238576
"24","member","12",138662,684.909838311866
